person_id,person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
2088,11039,nottingham trent university,nottingham,east midlands,united kingdom,ntu.ac.uk,ntu
4236,30822,university akron,akron,ohio,united states,uakron.edu,uakron
3021,19536,iese business school,madrid,madrid,spain,iese.edu,iese
1227,5635,university st gallen,st. gallen,st. gallen,switzerland,unisg.ch,unisg
1720,8310,university catania,catania,,italy,unict.it,unict
987,4641,university delaware,newark,delaware,united states,udel.edu,udel
1901,9510,virginia tech,blacksburg,virginia,united states,vt.edu,vt
8998,58846,university glasgow,glasgow,,united kingdom,glasgow.ac.uk,glasgow
5360,40501,temple university,philadelphia,pennsylvania,united states,temple.edu,temple
6748,50747,capella university,boulder,colorado,united states,vision2lead.com,vision2lead
8167,57162,university east london,london,london,united kingdom,uel.ac.uk,uel
5418,40936,university minnesota,minneapolis,minnesota,united states,umn.edu,umn
5909,44432,ku leuven,brussels,,belgium,kuleuven.be,kuleuven
6121,46332,emlyon business school,ecully,,france,em-lyon.com,em-lyon
5123,38769,pennsylvania state university,state college,pennsylvania,united states,psu.edu,psu
339,1426,university memphis,memphis,tennessee,united states,memphis.edu,memphis
4413,32678,chinese university hong kong,hong kong,,hong kong,baf.cuhk.edu.hk,cuhk
8455,57719,ie business school,madrid,madrid,spain,gmail.com,gmail
419,1781,northwestern university,evanston,illinois,united states,northwestern.edu,northwestern
8662,58096,university manchester,manchester,,united kingdom,mbs.ac.uk,mbs
8106,57046,university pennsylvania,philadelphia,pennsylvania,united states,wharton.upenn.edu,upenn
7697,56210,mit sloan,cambridge,massachusetts,united states,mit.edu,mit
1191,5491,massey university,north shore city,waikato,new zealand,massey.ac.nz,massey
5828,43884,tilburg university,tilburg,,netherlands,tilburguniversity.edu,tilburguniversity
597,2611,georgia gwinnett college,lawrenceville,georgia,united states,ggc.edu,ggc
1195,5509,northeastern university,boston,massachusetts,united states,neu.edu,neu
1059,4926,university nebraska lincoln,lincoln,nebraska,united states,unl.edu,unl
9348,59526,stanford university,stanford,california,united states,stanford.edu,stanford
1281,5888,cornell university,ithaca,new york,united states,cornell.edu,cornell
5335,40257,berrett koehler,san francisco,california,united states,bkpub.com,bkpub
7395,54807,london school economics,london,,united kingdom,lse.ac.uk,lse
8265,57353,national university singapore,singapore,,singapore,nus.edu.sg,nus
6661,49941,national chiao tung university,taipei,,taiwan,msa.hinet.net,hinet
6836,51421,georgia institute technology,atlanta,georgia,united states,scheller.gatech.edu,gatech
6011,45206,bi norwegian business school,oslo,oslo,norway,bi.no,bi
6283,47277,gsm peking university,beijing,beijing,china,gsm.pku.edu.cn,pku
2301,13058,sam houston state university,huntsville,texas,united states,ymail.com,ymail
3390,22989,boston college,chestnut hill,massachusetts,united states,bc.edu,bc
271,1169,emory university,atlanta,georgia,united states,bus.emory.edu,emory
4023,29001,lagos business school,lagos,lagos,nigeria,lbs.edu.ng,lbs
4669,34612,keele university,keele,staffordshire,united kingdom,keele.ac.uk,keele
8208,57243,seoul national university,seoul,,south korea,snu.ac.kr,snu
1339,6137,copenhagen business school,copenaghen,,denmark,cbs.dk,cbs
5038,38206,korea national defense university,goyang,,south korea,kndu.ac.kr,kndu
2505,14433,pepperdine university,los angeles,california,united states,pepperdine.edu,pepperdine
7915,56679,wharton school university pennsylvania,philadelphia,pennsylvania,united states,wharton.upenn.edu,upenn
3417,23452,george washington university,vienna,virginia,united states,gwu.edu,gwu
4797,35866,airlangga university,surabaya,east java,indonesia,feb.unair.ac.id,unair
3350,22431,leibniz university hannover,hannover,,germany,pua.uni-hannover.de,uni-hannover
7071,52729,beijing normal university,beijing,,china,gmail.com,gmail
2513,14475,oklahoma state university,tulsa,oklahoma,united states,okstate.edu,okstate
2392,13914,clark university,worcester,massachusetts,united states,clarku.edu,clarku
1216,5583,university gothenburg,gothenburg,,sweden,handels.gu.se,gu
1647,7746,esade business school,barcelona,,spain,esade.edu,esade
9113,59045,university western ontario,london,on,canada,ivey.uwo.ca,uwo
6685,50160,peking university,haidian district,beijing,china,gmail.com,gmail
3384,22924,center for creative leadership,greensboro,north carolina,united states,ccl.org,ccl
6873,51629,baruch college city university new york,new york,new york,united states,baruch.cuny.edu,cuny
3400,23184,university guelph,guelph,on,canada,uoguelph.ca,uoguelph
2774,16904,insead,singapore,singapore,singapore,insead.edu,insead
8981,58818,university houston,houston,texas,united states,gmail.com,gmail
1794,8809,georgia state university,atlanta,georgia,united states,gsu.edu,gsu
2195,12014,reis center llc scientific research management,aveiro,aveiro,portugal,aol.com,aol
458,1981,cornell university,ithaca,new york,united states,cornell.edu,cornell
5947,44693,southern cross university,brisbane,qld,australia,scu.edu.au,scu
3932,28256,mcgill university,montreal,qc,canada,mail.mcgill.ca,mcgill
6987,52277,curtin university,rivervale,washington,australia,hotmail.com,hotmail
6055,45533,aston business school,birmingham,,united kingdom,aston.ac.uk,aston
